Id	Label	NodeType	Community_Lvl_0	Community_Lvl_1	Community_Lvl_2	Infered_Community_Name_Lvl_0	Infered_Community_Name_Lvl_1	Infered_Community_Name_Lvl_2
EMEA Customer Strategy Manager__s	EMEA Customer Strategy Manager	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Sales and social media__s	Sales and social media	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
SVP lobbying__s	SVP lobbying	2.0	0	0.0	0.0.0	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Sr. Director of Pharmaceutical Operations__s	Sr. Director of Pharmaceutical Operations	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Internal Sales__s	Internal Sales	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Senior Product Marketing Director__s	Senior Product Marketing Director	2.0	0	0.0	0.0.0	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Senior Software Developer__s	Senior Software Developer	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Deputy Project Manager__s	Deputy Project Manager	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
free-lance__s	free-lance	2.0	4	4.4	4.4.7	21___Science and engineering professionals	21___Science and engineering professionals	24___Business and administration professionals
Zelfstandig fotograaf__s	Zelfstandig fotograaf	2.0	4	4.4	4.4.14	21___Science and engineering professionals	21___Science and engineering professionals	26___Legal, social and cultural professionals
Human Resources Information System Consultant__s	Human Resources Information System Consultant	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Import Coordinator__s	Import Coordinator	2.0	1	1.1	1.1.2	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
holistic teacher therapist__s	holistic teacher therapist	2.0	6	6.6	6.6.17	33___Business and administration associate professionals	33___Business and administration associate professionals	226___Other health professionals
Senior Expert in Livestock Management__s	Senior Expert in Livestock Management	2.0	4	4.4	4.4.8	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
Digital Marketing Consultant__s	Digital Marketing Consultant	2.0	0	0.0	0.0.0	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
Technical architect__s	Technical architect	2.0	2	2.2	2.2.10	21___Science and engineering professionals	21___Science and engineering professionals	21___Science and engineering professionals
DPX__s	DPX	2.0	3	3.3	3.3.4	24___Business and administration professionals	24___Business and administration professionals	24___Business and administration professionals
